frase1,fol1,frase2,fol2,relacion
no todo abuelo anochece o amanece ,-all x.(ABUELO(x) -> (ANOCHECER(x) | AMANECER(x))), algún abuelo no anochece y no amanece,exists x.(ABUELO(x) & -ANOCHECER(x) & -AMANECER(x)),1
no todo actor acuerda o aguanta ,-all x.(ACTOR(x) -> (ACORDAR(x) | AGUANTAR(x))), algún actor no acuerda y no aguanta,exists x.(ACTOR(x) & -ACORDAR(x) & -AGUANTAR(x)),1
no todo actor acuerda o ama ,-all x.(ACTOR(x) -> (ACORDAR(x) | AMAR(x))), algún actor no acuerda y no ama,exists x.(ACTOR(x) & -ACORDAR(x) & -AMAR(x)),1
no todo actor acuerda o amanece ,-all x.(ACTOR(x) -> (ACORDAR(x) | AMANECER(x))), algún actor no acuerda y no amanece,exists x.(ACTOR(x) & -ACORDAR(x) & -AMANECER(x)),1
no todo actor acuerda o anochece ,-all x.(ACTOR(x) -> (ACORDAR(x) | ANOCHECER(x))), algún actor no acuerda y no anochece,exists x.(ACTOR(x) & -ACORDAR(x) & -ANOCHECER(x)),1
no todo actor aguanta o acuerda ,-all x.(ACTOR(x) -> (AGUANTAR(x) | ACORDAR(x))), algún actor no aguanta y no acuerda,exists x.(ACTOR(x) & -AGUANTAR(x) & -ACORDAR(x)),1
no todo actor aguanta o ama ,-all x.(ACTOR(x) -> (AGUANTAR(x) | AMAR(x))), algún actor no aguanta y no ama,exists x.(ACTOR(x) & -AGUANTAR(x) & -AMAR(x)),1
no todo actor aguanta o amanece ,-all x.(ACTOR(x) -> (AGUANTAR(x) | AMANECER(x))), algún actor no aguanta y no amanece,exists x.(ACTOR(x) & -AGUANTAR(x) & -AMANECER(x)),1
no todo actor aguanta o anochece ,-all x.(ACTOR(x) -> (AGUANTAR(x) | ANOCHECER(x))), algún actor no aguanta y no anochece,exists x.(ACTOR(x) & -AGUANTAR(x) & -ANOCHECER(x)),1
no todo actor ama o acuerda ,-all x.(ACTOR(x) -> (AMAR(x) | ACORDAR(x))), algún actor no ama y no acuerda,exists x.(ACTOR(x) & -AMAR(x) & -ACORDAR(x)),1
no todo actor ama o aguanta ,-all x.(ACTOR(x) -> (AMAR(x) | AGUANTAR(x))), algún actor no ama y no aguanta,exists x.(ACTOR(x) & -AMAR(x) & -AGUANTAR(x)),1
no todo actor ama o amanece ,-all x.(ACTOR(x) -> (AMAR(x) | AMANECER(x))), algún actor no ama y no amanece,exists x.(ACTOR(x) & -AMAR(x) & -AMANECER(x)),1
no todo actor ama o anochece ,-all x.(ACTOR(x) -> (AMAR(x) | ANOCHECER(x))), algún actor no ama y no anochece,exists x.(ACTOR(x) & -AMAR(x) & -ANOCHECER(x)),1
no todo actor amanece o acuerda ,-all x.(ACTOR(x) -> (AMANECER(x) | ACORDAR(x))), algún actor no amanece y no acuerda,exists x.(ACTOR(x) & -AMANECER(x) & -ACORDAR(x)),1
no todo actor amanece o aguanta ,-all x.(ACTOR(x) -> (AMANECER(x) | AGUANTAR(x))), algún actor no amanece y no aguanta,exists x.(ACTOR(x) & -AMANECER(x) & -AGUANTAR(x)),1
no todo actor amanece o ama ,-all x.(ACTOR(x) -> (AMANECER(x) | AMAR(x))), algún actor no amanece y no ama,exists x.(ACTOR(x) & -AMANECER(x) & -AMAR(x)),1
no todo actor amanece o anochece ,-all x.(ACTOR(x) -> (AMANECER(x) | ANOCHECER(x))), algún actor no amanece y no anochece,exists x.(ACTOR(x) & -AMANECER(x) & -ANOCHECER(x)),1
no todo actor anochece o acuerda ,-all x.(ACTOR(x) -> (ANOCHECER(x) | ACORDAR(x))), algún actor no anochece y no acuerda,exists x.(ACTOR(x) & -ANOCHECER(x) & -ACORDAR(x)),1
no todo actor anochece o aguanta ,-all x.(ACTOR(x) -> (ANOCHECER(x) | AGUANTAR(x))), algún actor no anochece y no aguanta,exists x.(ACTOR(x) & -ANOCHECER(x) & -AGUANTAR(x)),1
no todo actor anochece o ama ,-all x.(ACTOR(x) -> (ANOCHECER(x) | AMAR(x))), algún actor no anochece y no ama,exists x.(ACTOR(x) & -ANOCHECER(x) & -AMAR(x)),1
no todo actor anochece o amanece ,-all x.(ACTOR(x) -> (ANOCHECER(x) | AMANECER(x))), algún actor no anochece y no amanece,exists x.(ACTOR(x) & -ANOCHECER(x) & -AMANECER(x)),1
no todo agujero acuerda o aguanta ,-all x.(AGUJERO(x) -> (ACORDAR(x) | AGUANTAR(x))), algún agujero no acuerda y no aguanta,exists x.(AGUJERO(x) & -ACORDAR(x) & -AGUANTAR(x)),1
no todo agujero acuerda o ama ,-all x.(AGUJERO(x) -> (ACORDAR(x) | AMAR(x))), algún agujero no acuerda y no ama,exists x.(AGUJERO(x) & -ACORDAR(x) & -AMAR(x)),1
no todo agujero acuerda o amanece ,-all x.(AGUJERO(x) -> (ACORDAR(x) | AMANECER(x))), algún agujero no acuerda y no amanece,exists x.(AGUJERO(x) & -ACORDAR(x) & -AMANECER(x)),1
no todo agujero acuerda o anochece ,-all x.(AGUJERO(x) -> (ACORDAR(x) | ANOCHECER(x))), algún agujero no acuerda y no anochece,exists x.(AGUJERO(x) & -ACORDAR(x) & -ANOCHECER(x)),1
no todo agujero aguanta o acuerda ,-all x.(AGUJERO(x) -> (AGUANTAR(x) | ACORDAR(x))), algún agujero no aguanta y no acuerda,exists x.(AGUJERO(x) & -AGUANTAR(x) & -ACORDAR(x)),1
no todo agujero aguanta o ama ,-all x.(AGUJERO(x) -> (AGUANTAR(x) | AMAR(x))), algún agujero no aguanta y no ama,exists x.(AGUJERO(x) & -AGUANTAR(x) & -AMAR(x)),1
no todo agujero aguanta o amanece ,-all x.(AGUJERO(x) -> (AGUANTAR(x) | AMANECER(x))), algún agujero no aguanta y no amanece,exists x.(AGUJERO(x) & -AGUANTAR(x) & -AMANECER(x)),1
no todo agujero aguanta o anochece ,-all x.(AGUJERO(x) -> (AGUANTAR(x) | ANOCHECER(x))), algún agujero no aguanta y no anochece,exists x.(AGUJERO(x) & -AGUANTAR(x) & -ANOCHECER(x)),1
no todo agujero ama o acuerda ,-all x.(AGUJERO(x) -> (AMAR(x) | ACORDAR(x))), algún agujero no ama y no acuerda,exists x.(AGUJERO(x) & -AMAR(x) & -ACORDAR(x)),1
no todo agujero ama o aguanta ,-all x.(AGUJERO(x) -> (AMAR(x) | AGUANTAR(x))), algún agujero no ama y no aguanta,exists x.(AGUJERO(x) & -AMAR(x) & -AGUANTAR(x)),1
no todo agujero ama o amanece ,-all x.(AGUJERO(x) -> (AMAR(x) | AMANECER(x))), algún agujero no ama y no amanece,exists x.(AGUJERO(x) & -AMAR(x) & -AMANECER(x)),1
no todo agujero ama o anochece ,-all x.(AGUJERO(x) -> (AMAR(x) | ANOCHECER(x))), algún agujero no ama y no anochece,exists x.(AGUJERO(x) & -AMAR(x) & -ANOCHECER(x)),1
no todo agujero amanece o acuerda ,-all x.(AGUJERO(x) -> (AMANECER(x) | ACORDAR(x))), algún agujero no amanece y no acuerda,exists x.(AGUJERO(x) & -AMANECER(x) & -ACORDAR(x)),1
no todo agujero amanece o aguanta ,-all x.(AGUJERO(x) -> (AMANECER(x) | AGUANTAR(x))), algún agujero no amanece y no aguanta,exists x.(AGUJERO(x) & -AMANECER(x) & -AGUANTAR(x)),1
no todo agujero amanece o ama ,-all x.(AGUJERO(x) -> (AMANECER(x) | AMAR(x))), algún agujero no amanece y no ama,exists x.(AGUJERO(x) & -AMANECER(x) & -AMAR(x)),1
no todo agujero amanece o anochece ,-all x.(AGUJERO(x) -> (AMANECER(x) | ANOCHECER(x))), algún agujero no amanece y no anochece,exists x.(AGUJERO(x) & -AMANECER(x) & -ANOCHECER(x)),1
no todo agujero anochece o acuerda ,-all x.(AGUJERO(x) -> (ANOCHECER(x) | ACORDAR(x))), algún agujero no anochece y no acuerda,exists x.(AGUJERO(x) & -ANOCHECER(x) & -ACORDAR(x)),1
no todo agujero anochece o aguanta ,-all x.(AGUJERO(x) -> (ANOCHECER(x) | AGUANTAR(x))), algún agujero no anochece y no aguanta,exists x.(AGUJERO(x) & -ANOCHECER(x) & -AGUANTAR(x)),1
no todo agujero anochece o ama ,-all x.(AGUJERO(x) -> (ANOCHECER(x) | AMAR(x))), algún agujero no anochece y no ama,exists x.(AGUJERO(x) & -ANOCHECER(x) & -AMAR(x)),1
no todo agujero anochece o amanece ,-all x.(AGUJERO(x) -> (ANOCHECER(x) | AMANECER(x))), algún agujero no anochece y no amanece,exists x.(AGUJERO(x) & -ANOCHECER(x) & -AMANECER(x)),1
no todo albañil acuerda o aguanta ,-all x.(ALBAÑIL(x) -> (ACORDAR(x) | AGUANTAR(x))), algún albañil no acuerda y no aguanta,exists x.(ALBAÑIL(x) & -ACORDAR(x) & -AGUANTAR(x)),1
no todo albañil acuerda o ama ,-all x.(ALBAÑIL(x) -> (ACORDAR(x) | AMAR(x))), algún albañil no acuerda y no ama,exists x.(ALBAÑIL(x) & -ACORDAR(x) & -AMAR(x)),1
no todo albañil acuerda o amanece ,-all x.(ALBAÑIL(x) -> (ACORDAR(x) | AMANECER(x))), algún albañil no acuerda y no amanece,exists x.(ALBAÑIL(x) & -ACORDAR(x) & -AMANECER(x)),1
no todo albañil acuerda o anochece ,-all x.(ALBAÑIL(x) -> (ACORDAR(x) | ANOCHECER(x))), algún albañil no acuerda y no anochece,exists x.(ALBAÑIL(x) & -ACORDAR(x) & -ANOCHECER(x)),1
no todo albañil aguanta o acuerda ,-all x.(ALBAÑIL(x) -> (AGUANTAR(x) | ACORDAR(x))), algún albañil no aguanta y no acuerda,exists x.(ALBAÑIL(x) & -AGUANTAR(x) & -ACORDAR(x)),1
no todo albañil aguanta o ama ,-all x.(ALBAÑIL(x) -> (AGUANTAR(x) | AMAR(x))), algún albañil no aguanta y no ama,exists x.(ALBAÑIL(x) & -AGUANTAR(x) & -AMAR(x)),1
no todo albañil aguanta o amanece ,-all x.(ALBAÑIL(x) -> (AGUANTAR(x) | AMANECER(x))), algún albañil no aguanta y no amanece,exists x.(ALBAÑIL(x) & -AGUANTAR(x) & -AMANECER(x)),1
no todo albañil aguanta o anochece ,-all x.(ALBAÑIL(x) -> (AGUANTAR(x) | ANOCHECER(x))), algún albañil no aguanta y no anochece,exists x.(ALBAÑIL(x) & -AGUANTAR(x) & -ANOCHECER(x)),1
no todo albañil ama o acuerda ,-all x.(ALBAÑIL(x) -> (AMAR(x) | ACORDAR(x))), algún albañil no ama y no acuerda,exists x.(ALBAÑIL(x) & -AMAR(x) & -ACORDAR(x)),1
no todo albañil ama o aguanta ,-all x.(ALBAÑIL(x) -> (AMAR(x) | AGUANTAR(x))), algún albañil no ama y no aguanta,exists x.(ALBAÑIL(x) & -AMAR(x) & -AGUANTAR(x)),1
no todo albañil ama o amanece ,-all x.(ALBAÑIL(x) -> (AMAR(x) | AMANECER(x))), algún albañil no ama y no amanece,exists x.(ALBAÑIL(x) & -AMAR(x) & -AMANECER(x)),1
no todo albañil ama o anochece ,-all x.(ALBAÑIL(x) -> (AMAR(x) | ANOCHECER(x))), algún albañil no ama y no anochece,exists x.(ALBAÑIL(x) & -AMAR(x) & -ANOCHECER(x)),1
no todo albañil amanece o acuerda ,-all x.(ALBAÑIL(x) -> (AMANECER(x) | ACORDAR(x))), algún albañil no amanece y no acuerda,exists x.(ALBAÑIL(x) & -AMANECER(x) & -ACORDAR(x)),1
no todo albañil amanece o aguanta ,-all x.(ALBAÑIL(x) -> (AMANECER(x) | AGUANTAR(x))), algún albañil no amanece y no aguanta,exists x.(ALBAÑIL(x) & -AMANECER(x) & -AGUANTAR(x)),1
no todo albañil amanece o ama ,-all x.(ALBAÑIL(x) -> (AMANECER(x) | AMAR(x))), algún albañil no amanece y no ama,exists x.(ALBAÑIL(x) & -AMANECER(x) & -AMAR(x)),1
no todo albañil amanece o anochece ,-all x.(ALBAÑIL(x) -> (AMANECER(x) | ANOCHECER(x))), algún albañil no amanece y no anochece,exists x.(ALBAÑIL(x) & -AMANECER(x) & -ANOCHECER(x)),1
no todo albañil anochece o acuerda ,-all x.(ALBAÑIL(x) -> (ANOCHECER(x) | ACORDAR(x))), algún albañil no anochece y no acuerda,exists x.(ALBAÑIL(x) & -ANOCHECER(x) & -ACORDAR(x)),1
no todo albañil anochece o aguanta ,-all x.(ALBAÑIL(x) -> (ANOCHECER(x) | AGUANTAR(x))), algún albañil no anochece y no aguanta,exists x.(ALBAÑIL(x) & -ANOCHECER(x) & -AGUANTAR(x)),1
no todo albañil anochece o ama ,-all x.(ALBAÑIL(x) -> (ANOCHECER(x) | AMAR(x))), algún albañil no anochece y no ama,exists x.(ALBAÑIL(x) & -ANOCHECER(x) & -AMAR(x)),1
no todo albañil anochece o amanece ,-all x.(ALBAÑIL(x) -> (ANOCHECER(x) | AMANECER(x))), algún albañil no anochece y no amanece,exists x.(ALBAÑIL(x) & -ANOCHECER(x) & -AMANECER(x)),1
no todo alce acuerda o aguanta ,-all x.(ALCER(x) -> (ACORDAR(x) | AGUANTAR(x))), algún alce no acuerda y no aguanta,exists x.(ALCER(x) & -ACORDAR(x) & -AGUANTAR(x)),1
no todo alce acuerda o ama ,-all x.(ALCER(x) -> (ACORDAR(x) | AMAR(x))), algún alce no acuerda y no ama,exists x.(ALCER(x) & -ACORDAR(x) & -AMAR(x)),1
no todo alce acuerda o amanece ,-all x.(ALCER(x) -> (ACORDAR(x) | AMANECER(x))), algún alce no acuerda y no amanece,exists x.(ALCER(x) & -ACORDAR(x) & -AMANECER(x)),1
no todo alce acuerda o anochece ,-all x.(ALCER(x) -> (ACORDAR(x) | ANOCHECER(x))), algún alce no acuerda y no anochece,exists x.(ALCER(x) & -ACORDAR(x) & -ANOCHECER(x)),1
no todo alce aguanta o acuerda ,-all x.(ALCER(x) -> (AGUANTAR(x) | ACORDAR(x))), algún alce no aguanta y no acuerda,exists x.(ALCER(x) & -AGUANTAR(x) & -ACORDAR(x)),1
no todo alce aguanta o ama ,-all x.(ALCER(x) -> (AGUANTAR(x) | AMAR(x))), algún alce no aguanta y no ama,exists x.(ALCER(x) & -AGUANTAR(x) & -AMAR(x)),1
no todo alce aguanta o amanece ,-all x.(ALCER(x) -> (AGUANTAR(x) | AMANECER(x))), algún alce no aguanta y no amanece,exists x.(ALCER(x) & -AGUANTAR(x) & -AMANECER(x)),1
no todo alce aguanta o anochece ,-all x.(ALCER(x) -> (AGUANTAR(x) | ANOCHECER(x))), algún alce no aguanta y no anochece,exists x.(ALCER(x) & -AGUANTAR(x) & -ANOCHECER(x)),1
no todo alce ama o acuerda ,-all x.(ALCER(x) -> (AMAR(x) | ACORDAR(x))), algún alce no ama y no acuerda,exists x.(ALCER(x) & -AMAR(x) & -ACORDAR(x)),1
no todo alce ama o aguanta ,-all x.(ALCER(x) -> (AMAR(x) | AGUANTAR(x))), algún alce no ama y no aguanta,exists x.(ALCER(x) & -AMAR(x) & -AGUANTAR(x)),1
no todo alce ama o amanece ,-all x.(ALCER(x) -> (AMAR(x) | AMANECER(x))), algún alce no ama y no amanece,exists x.(ALCER(x) & -AMAR(x) & -AMANECER(x)),1
no todo alce ama o anochece ,-all x.(ALCER(x) -> (AMAR(x) | ANOCHECER(x))), algún alce no ama y no anochece,exists x.(ALCER(x) & -AMAR(x) & -ANOCHECER(x)),1
no todo alce amanece o acuerda ,-all x.(ALCER(x) -> (AMANECER(x) | ACORDAR(x))), algún alce no amanece y no acuerda,exists x.(ALCER(x) & -AMANECER(x) & -ACORDAR(x)),1
no todo alce amanece o aguanta ,-all x.(ALCER(x) -> (AMANECER(x) | AGUANTAR(x))), algún alce no amanece y no aguanta,exists x.(ALCER(x) & -AMANECER(x) & -AGUANTAR(x)),1
no todo alce amanece o ama ,-all x.(ALCER(x) -> (AMANECER(x) | AMAR(x))), algún alce no amanece y no ama,exists x.(ALCER(x) & -AMANECER(x) & -AMAR(x)),1
no todo alce amanece o anochece ,-all x.(ALCER(x) -> (AMANECER(x) | ANOCHECER(x))), algún alce no amanece y no anochece,exists x.(ALCER(x) & -AMANECER(x) & -ANOCHECER(x)),1
no todo alce anochece o acuerda ,-all x.(ALCER(x) -> (ANOCHECER(x) | ACORDAR(x))), algún alce no anochece y no acuerda,exists x.(ALCER(x) & -ANOCHECER(x) & -ACORDAR(x)),1
no todo alce anochece o aguanta ,-all x.(ALCER(x) -> (ANOCHECER(x) | AGUANTAR(x))), algún alce no anochece y no aguanta,exists x.(ALCER(x) & -ANOCHECER(x) & -AGUANTAR(x)),1
no todo alce anochece o ama ,-all x.(ALCER(x) -> (ANOCHECER(x) | AMAR(x))), algún alce no anochece y no ama,exists x.(ALCER(x) & -ANOCHECER(x) & -AMAR(x)),1
no todo alce anochece o amanece ,-all x.(ALCER(x) -> (ANOCHECER(x) | AMANECER(x))), algún alce no anochece y no amanece,exists x.(ALCER(x) & -ANOCHECER(x) & -AMANECER(x)),1
todo abuelo alegre acuerda ,all x.((ABUELO(x) & ALEGRE(x)) -> ACORDAR(x)), no algún abuelo alegre no acuerda,-exists x.(ABUELO(x) & ALEGRE(x) & -ACORDAR(x)),1
todo abuelo alto acuerda ,all x.((ABUELO(x) & ALTO(x)) -> ACORDAR(x)), no algún abuelo alto no acuerda,-exists x.(ABUELO(x) & ALTO(x) & -ACORDAR(x)),1
todo abuelo amargo acuerda ,all x.((ABUELO(x) & AMARGO(x)) -> ACORDAR(x)), no algún abuelo amargo no acuerda,-exists x.(ABUELO(x) & AMARGO(x) & -ACORDAR(x)),1
todo abuelo amplio acuerda ,all x.((ABUELO(x) & AMPLIO(x)) -> ACORDAR(x)), no algún abuelo amplio no acuerda,-exists x.(ABUELO(x) & AMPLIO(x) & -ACORDAR(x)),1
todo abuelo amarillo acuerda ,all x.((ABUELO(x) & AMARILLO(x)) -> ACORDAR(x)), no algún abuelo amarillo no acuerda,-exists x.(ABUELO(x) & AMARILLO(x) & -ACORDAR(x)),1
todo abuelo alegre aguanta ,all x.((ABUELO(x) & ALEGRE(x)) -> AGUANTAR(x)), no algún abuelo alegre no aguanta,-exists x.(ABUELO(x) & ALEGRE(x) & -AGUANTAR(x)),1
todo abuelo alto aguanta ,all x.((ABUELO(x) & ALTO(x)) -> AGUANTAR(x)), no algún abuelo alto no aguanta,-exists x.(ABUELO(x) & ALTO(x) & -AGUANTAR(x)),1
todo abuelo amargo aguanta ,all x.((ABUELO(x) & AMARGO(x)) -> AGUANTAR(x)), no algún abuelo amargo no aguanta,-exists x.(ABUELO(x) & AMARGO(x) & -AGUANTAR(x)),1
todo abuelo amplio aguanta ,all x.((ABUELO(x) & AMPLIO(x)) -> AGUANTAR(x)), no algún abuelo amplio no aguanta,-exists x.(ABUELO(x) & AMPLIO(x) & -AGUANTAR(x)),1
todo abuelo amarillo aguanta ,all x.((ABUELO(x) & AMARILLO(x)) -> AGUANTAR(x)), no algún abuelo amarillo no aguanta,-exists x.(ABUELO(x) & AMARILLO(x) & -AGUANTAR(x)),1
todo abuelo alegre ama ,all x.((ABUELO(x) & ALEGRE(x)) -> AMAR(x)), no algún abuelo alegre no ama,-exists x.(ABUELO(x) & ALEGRE(x) & -AMAR(x)),1
todo abuelo alto ama ,all x.((ABUELO(x) & ALTO(x)) -> AMAR(x)), no algún abuelo alto no ama,-exists x.(ABUELO(x) & ALTO(x) & -AMAR(x)),1
todo abuelo amargo ama ,all x.((ABUELO(x) & AMARGO(x)) -> AMAR(x)), no algún abuelo amargo no ama,-exists x.(ABUELO(x) & AMARGO(x) & -AMAR(x)),1
todo abuelo amplio ama ,all x.((ABUELO(x) & AMPLIO(x)) -> AMAR(x)), no algún abuelo amplio no ama,-exists x.(ABUELO(x) & AMPLIO(x) & -AMAR(x)),1
todo abuelo amarillo ama ,all x.((ABUELO(x) & AMARILLO(x)) -> AMAR(x)), no algún abuelo amarillo no ama,-exists x.(ABUELO(x) & AMARILLO(x) & -AMAR(x)),1
todo abuelo alegre amanece ,all x.((ABUELO(x) & ALEGRE(x)) -> AMANECER(x)), no algún abuelo alegre no amanece,-exists x.(ABUELO(x) & ALEGRE(x) & -AMANECER(x)),1
todo abuelo alto amanece ,all x.((ABUELO(x) & ALTO(x)) -> AMANECER(x)), no algún abuelo alto no amanece,-exists x.(ABUELO(x) & ALTO(x) & -AMANECER(x)),1
todo abuelo amargo amanece ,all x.((ABUELO(x) & AMARGO(x)) -> AMANECER(x)), no algún abuelo amargo no amanece,-exists x.(ABUELO(x) & AMARGO(x) & -AMANECER(x)),1
todo abuelo amplio amanece ,all x.((ABUELO(x) & AMPLIO(x)) -> AMANECER(x)), no algún abuelo amplio no amanece,-exists x.(ABUELO(x) & AMPLIO(x) & -AMANECER(x)),1
todo abuelo amarillo amanece ,all x.((ABUELO(x) & AMARILLO(x)) -> AMANECER(x)), no algún abuelo amarillo no amanece,-exists x.(ABUELO(x) & AMARILLO(x) & -AMANECER(x)),1
todo abuelo alegre anochece ,all x.((ABUELO(x) & ALEGRE(x)) -> ANOCHECER(x)), no algún abuelo alegre no anochece,-exists x.(ABUELO(x) & ALEGRE(x) & -ANOCHECER(x)),1
todo abuelo alto anochece ,all x.((ABUELO(x) & ALTO(x)) -> ANOCHECER(x)), no algún abuelo alto no anochece,-exists x.(ABUELO(x) & ALTO(x) & -ANOCHECER(x)),1
todo abuelo amargo anochece ,all x.((ABUELO(x) & AMARGO(x)) -> ANOCHECER(x)), no algún abuelo amargo no anochece,-exists x.(ABUELO(x) & AMARGO(x) & -ANOCHECER(x)),1
todo abuelo amplio anochece ,all x.((ABUELO(x) & AMPLIO(x)) -> ANOCHECER(x)), no algún abuelo amplio no anochece,-exists x.(ABUELO(x) & AMPLIO(x) & -ANOCHECER(x)),1
todo abuelo amarillo anochece ,all x.((ABUELO(x) & AMARILLO(x)) -> ANOCHECER(x)), no algún abuelo amarillo no anochece,-exists x.(ABUELO(x) & AMARILLO(x) & -ANOCHECER(x)),1
todo actor alegre acuerda ,all x.((ACTOR(x) & ALEGRE(x)) -> ACORDAR(x)), no algún actor alegre no acuerda,-exists x.(ACTOR(x) & ALEGRE(x) & -ACORDAR(x)),1
todo actor alto acuerda ,all x.((ACTOR(x) & ALTO(x)) -> ACORDAR(x)), no algún actor alto no acuerda,-exists x.(ACTOR(x) & ALTO(x) & -ACORDAR(x)),1
todo actor amargo acuerda ,all x.((ACTOR(x) & AMARGO(x)) -> ACORDAR(x)), no algún actor amargo no acuerda,-exists x.(ACTOR(x) & AMARGO(x) & -ACORDAR(x)),1
todo actor amplio acuerda ,all x.((ACTOR(x) & AMPLIO(x)) -> ACORDAR(x)), no algún actor amplio no acuerda,-exists x.(ACTOR(x) & AMPLIO(x) & -ACORDAR(x)),1
todo actor amarillo acuerda ,all x.((ACTOR(x) & AMARILLO(x)) -> ACORDAR(x)), no algún actor amarillo no acuerda,-exists x.(ACTOR(x) & AMARILLO(x) & -ACORDAR(x)),1
todo actor alegre aguanta ,all x.((ACTOR(x) & ALEGRE(x)) -> AGUANTAR(x)), no algún actor alegre no aguanta,-exists x.(ACTOR(x) & ALEGRE(x) & -AGUANTAR(x)),1
todo actor alto aguanta ,all x.((ACTOR(x) & ALTO(x)) -> AGUANTAR(x)), no algún actor alto no aguanta,-exists x.(ACTOR(x) & ALTO(x) & -AGUANTAR(x)),1
todo actor amargo aguanta ,all x.((ACTOR(x) & AMARGO(x)) -> AGUANTAR(x)), no algún actor amargo no aguanta,-exists x.(ACTOR(x) & AMARGO(x) & -AGUANTAR(x)),1
todo actor amplio aguanta ,all x.((ACTOR(x) & AMPLIO(x)) -> AGUANTAR(x)), no algún actor amplio no aguanta,-exists x.(ACTOR(x) & AMPLIO(x) & -AGUANTAR(x)),1
todo actor amarillo aguanta ,all x.((ACTOR(x) & AMARILLO(x)) -> AGUANTAR(x)), no algún actor amarillo no aguanta,-exists x.(ACTOR(x) & AMARILLO(x) & -AGUANTAR(x)),1
todo actor alegre ama ,all x.((ACTOR(x) & ALEGRE(x)) -> AMAR(x)), no algún actor alegre no ama,-exists x.(ACTOR(x) & ALEGRE(x) & -AMAR(x)),1
todo actor alto ama ,all x.((ACTOR(x) & ALTO(x)) -> AMAR(x)), no algún actor alto no ama,-exists x.(ACTOR(x) & ALTO(x) & -AMAR(x)),1
todo actor amargo ama ,all x.((ACTOR(x) & AMARGO(x)) -> AMAR(x)), no algún actor amargo no ama,-exists x.(ACTOR(x) & AMARGO(x) & -AMAR(x)),1
todo actor amplio ama ,all x.((ACTOR(x) & AMPLIO(x)) -> AMAR(x)), no algún actor amplio no ama,-exists x.(ACTOR(x) & AMPLIO(x) & -AMAR(x)),1
todo actor amarillo ama ,all x.((ACTOR(x) & AMARILLO(x)) -> AMAR(x)), no algún actor amarillo no ama,-exists x.(ACTOR(x) & AMARILLO(x) & -AMAR(x)),1
todo actor alegre amanece ,all x.((ACTOR(x) & ALEGRE(x)) -> AMANECER(x)), no algún actor alegre no amanece,-exists x.(ACTOR(x) & ALEGRE(x) & -AMANECER(x)),1
todo actor alto amanece ,all x.((ACTOR(x) & ALTO(x)) -> AMANECER(x)), no algún actor alto no amanece,-exists x.(ACTOR(x) & ALTO(x) & -AMANECER(x)),1
todo actor amargo amanece ,all x.((ACTOR(x) & AMARGO(x)) -> AMANECER(x)), no algún actor amargo no amanece,-exists x.(ACTOR(x) & AMARGO(x) & -AMANECER(x)),1
todo actor amplio amanece ,all x.((ACTOR(x) & AMPLIO(x)) -> AMANECER(x)), no algún actor amplio no amanece,-exists x.(ACTOR(x) & AMPLIO(x) & -AMANECER(x)),1
todo actor amarillo amanece ,all x.((ACTOR(x) & AMARILLO(x)) -> AMANECER(x)), no algún actor amarillo no amanece,-exists x.(ACTOR(x) & AMARILLO(x) & -AMANECER(x)),1
todo actor alegre anochece ,all x.((ACTOR(x) & ALEGRE(x)) -> ANOCHECER(x)), no algún actor alegre no anochece,-exists x.(ACTOR(x) & ALEGRE(x) & -ANOCHECER(x)),1
todo actor alto anochece ,all x.((ACTOR(x) & ALTO(x)) -> ANOCHECER(x)), no algún actor alto no anochece,-exists x.(ACTOR(x) & ALTO(x) & -ANOCHECER(x)),1
todo actor amargo anochece ,all x.((ACTOR(x) & AMARGO(x)) -> ANOCHECER(x)), no algún actor amargo no anochece,-exists x.(ACTOR(x) & AMARGO(x) & -ANOCHECER(x)),1
todo actor amplio anochece ,all x.((ACTOR(x) & AMPLIO(x)) -> ANOCHECER(x)), no algún actor amplio no anochece,-exists x.(ACTOR(x) & AMPLIO(x) & -ANOCHECER(x)),1
todo actor amarillo anochece ,all x.((ACTOR(x) & AMARILLO(x)) -> ANOCHECER(x)), no algún actor amarillo no anochece,-exists x.(ACTOR(x) & AMARILLO(x) & -ANOCHECER(x)),1
todo agujero alegre acuerda ,all x.((AGUJERO(x) & ALEGRE(x)) -> ACORDAR(x)), no algún agujero alegre no acuerda,-exists x.(AGUJERO(x) & ALEGRE(x) & -ACORDAR(x)),1
todo agujero alto acuerda ,all x.((AGUJERO(x) & ALTO(x)) -> ACORDAR(x)), no algún agujero alto no acuerda,-exists x.(AGUJERO(x) & ALTO(x) & -ACORDAR(x)),1
todo agujero amargo acuerda ,all x.((AGUJERO(x) & AMARGO(x)) -> ACORDAR(x)), no algún agujero amargo no acuerda,-exists x.(AGUJERO(x) & AMARGO(x) & -ACORDAR(x)),1
todo agujero amplio acuerda ,all x.((AGUJERO(x) & AMPLIO(x)) -> ACORDAR(x)), no algún agujero amplio no acuerda,-exists x.(AGUJERO(x) & AMPLIO(x) & -ACORDAR(x)),1
todo agujero amarillo acuerda ,all x.((AGUJERO(x) & AMARILLO(x)) -> ACORDAR(x)), no algún agujero amarillo no acuerda,-exists x.(AGUJERO(x) & AMARILLO(x) & -ACORDAR(x)),1
